correct?,Character,Mandarin,Predicted Cantonese,Actual Cantonese
o,踊,yong3,jung2,jung2
o,閈,han4,hon6,hon6
o,㹖,huan4,waan6,waan6
x,㓞,qia4,hap3,kaai3
o,行,hang4,hong6,hong6
x,遻,wu4,maa6,naa6
o,鐔,tan2,taam4,taam4
x,㟄,xiang2,hong4,coeng4
o,溙,tai4,taai3,taai3
o,莢,jia2,gaap3,gaap3
x,㴵,mi4,mik6,mat6
x,泡,pao4,paau3,pou5
x,婜,qian1,cin1,haan1
x,諶,chen2,san4,sam4
x,篠,xiao3,hiu2,siu2
x,𩷕,lang2,long4,loeng4
x,校,xiao4,haau6,gaau3
o,孎,zhu2,zuk1,zuk1
o,搙,nu4,nuk6,nuk6
o,鈽,bu1,bou1,bou1
o,姱,kua1,kaa1,kaa1
x,躐,lie4,lit6,lip6
x,俙,xi1,hik1,hei1
o,號,hao2,hou4,hou4
x,崛,jue2,kyut3,gaa6
o,敜,nie4,nip6,nip6
o,㠋,e4,naa6,naa6
o,霙,ying1,jing1,jing1
x,痀,gou1,gau1,keoi1
o,杜,du4,dou6,dou6
o,骮,yi4,jik6,jik6
o,肝,gan1,gon1,gon1
x,卷,juan4,gyun3,gyun2
x,泎,ze2,zaak3,zaak6
x,婩,an4,non6,joek6
x,稟,bing3,bing2,ban2
x,埯,an3,aa2,am2
x,䴳,hua2,waa6,wat6
o,惏,lin2,lam4,lam4
x,㞸,sui4,seoi6,seoi3
o,雅,ya3,naa5,naa5
o,釐,li2,lei4,lei4
o,稿,gao3,gou2,gou2
o,縱,zong3,zung2,zung2
x,㡷,ben3,ban2,bun2
x,簎,ce4,cak3,caak3
x,咪,mi3,mei5,mai5
o,畇,yun2,wan4,wan4
x,陳,chen2,san4,can4
o,璜,huang2,wong4,wong4
x,哱,po4,pok3,po3
o,鉺,er3,ji5,ji5
o,媤,si1,si1,si1
o,彷,fang3,fong2,fong2
x,旿,wu3,mou5,naa5
o,㜈,mu4,muk6,muk6
x,粒,li4,lik6,nap1
o,儑,an2,naa4,naa4
o,埸,yi4,jik6,jik6
x,啑,sha4,saa3,zaap3
o,儶,hui4,wai6,wai6
x,㜯,xi1,hik1,hei1
o,梓,zi3,zi2,zi2
o,謱,lü3,leoi5,leoi5
x,肉,rou4,jau6,juk6
o,蹜,su4,suk1,suk1
x,㧦,xuan4,jyun3,hyun3
x,㭌,mou2,mau4,zyu1
o,鰻,man2,maan4,maan4
o,澞,yu2,jyu4,jyu4
o,觶,zhi4,zi3,zi3
x,揩,kai1,hoi1,haai1
o,蔉,gun3,gaa2,gaa2
o,卾,e4,naa6,naa6
o,㠭,zhan3,zin2,zin2
o,璩,qu2,keoi4,keoi4
x,怚,ju4,geoi6,zeoi6
x,帽,mao4,mau6,mou6
o,梯,ti1,tai1,tai1
x,㝓,ke4,ho1,gaap3
x,倌,guan1,gaa1,gun1
x,芙,fu2,fu1,fu4
x,肸,xi1,hik1,hat1
o,宀,mian2,min4,min4
x,媧,wa1,waa1,wo1
o,醫,yi1,ji1,ji1
x,堉,yu4,jyu6,juk6
o,舨,ban3,baan2,baan2
o,茋,zhi3,zi2,zi2
o,撩,liao1,liu1,liu1
o,菭,tai2,toi4,toi4
x,頗,po1,pok3,po2
x,馵,zhu4,cyu5,zyu3
o,鄲,dan1,daan1,daan1
x,皂,zao4,zou3,zou6
x,渥,wo4,waat6,ak1
x,貗,yu2,jyu4,geoi6
x,唿,hu1,fu1,fat1
o,惀,lun4,leon6,leon6
o,暾,tun1,tan1,tan1
o,缹,fou3,fau2,fau2
x,䫡,yan2,jin4,naa4
o,鬧,nao4,naau6,naau6
x,䛻,you4,jau6,jau5
o,搜,sou1,sau1,sau1
o,伉,kang4,kong3,kong3
x,腬,rou2,jau4,nau6
o,害,hai4,hoi6,hoi6
x,䃭,gan3,gon2,gam2
o,庣,tiao1,tiu1,tiu1
x,篥,li4,lik6,leot6
x,阣,yi4,jik6,naa6
x,莉,li4,lik6,lei6
x,楞,leng2,ling4,ling6
x,䬏,bu4,bou6,faau2
o,峱,nao2,naau4,naau4
o,都,du1,dou1,dou1
o,記,ji4,gei3,gei3
o,躣,qu2,keoi4,keoi4
x,躒,li4,lik6,lik1
x,索,suo3,so2,sok3
x,祲,jin1,gam1,zam1
o,蜘,zhi1,zi1,zi1
x,屄,bi1,bik1,bei1
o,貊,mo4,mak6,mak6
x,絇,ju4,geoi6,keoi4
x,䱡,ju2,gaa1,guk1
x,餌,er3,ji5,nei6
x,瓋,bo2,bok6,tik1
o,㑝,long4,lung6,lung6
o,衩,cha4,caa3,caa3
x,眩,xuan4,jyun3,jyun6
x,鍂,pian1,pin1,gam1
x,廛,chan2,caam4,cin4
x,鈚,bi1,bik1,pei4
o,杷,pa2,paa4,paa4
x,䬈,dui4,deoi6,deoi3
x,妌,jing4,ging6,zing6
o,㒟,niao3,niu5,niu5
o,鞤,bang1,bong1,bong1
o,荺,yun3,wan5,wan5
o,鄧,deng4,dang6,dang6
x,䊦,ye4,jip6,jit3
x,淰,nian3,nin2,naam5
x,紀,ji4,gei3,gei2
o,炯,jiong3,gaa2,gaa2
x,鰶,ji4,gei3,man5
o,潭,tan2,taam4,taam4
o,嵾,cen1,cam1,cam1
o,鶋,ju1,geoi1,geoi1
x,鵴,ju2,gaa1,guk1
x,徑,jing4,ging6,ging3
o,莝,cuo4,co3,co3
x,繢,hui4,wai6,kui2
o,榣,yao2,jiu4,jiu4
o,騼,lu4,luk6,luk6
x,狃,niu3,nau5,nau2
x,䃟,san1,saam1,saan3
o,吩,fen1,fan1,fan1
o,眇,miao3,miu5,miu5
x,鷔,ao2,naa4,naa6
x,費,fei4,fai3,fai6
x,帎,dan4,daan6,daam3
o,筍,sun3,seon2,seon2
o,䰂,cai4,coi3,coi3
x,更,geng4,gang2,gang3
o,材,cai2,coi4,coi4
o,桃,tao2,tou4,tou4
o,衭,fu1,fu1,fu1
x,乇,zhe2,zit3,zaak6
o,鑊,huo4,wok6,wok6
o,峬,bu1,bou1,bou1
x,䲗,xian2,jin4,haam4
x,姼,shi2,sik6,ci2
x,合,he2,ho6,ho4
x,庳,bi4,bat6,bei1
x,笶,shi3,si2,ci2
x,舵,duo4,do6,to4
x,俺,an3,aa2,jim3
o,銋,ren2,jam4,jam4
o,埌,lang4,long6,long6
x,愸,zheng3,cing2,zing2
o,羋,mi3,mei5,mei5
o,搨,ta4,taap3,taap3
x,從,cong2,cung4,sung1
x,訴,su4,suk1,sou3
o,钂,tang3,tong2,tong2
x,騞,huo1,fok3,waak6
o,讒,chan2,caam4,caam4
x,㹑,si4,zi6,ci4
x,咳,hai1,hoi1,haai1
o,梄,you3,jau5,jau5
o,有,you3,jau5,jau5
x,慵,yong1,jung1,jung4
o,址,zhi3,zi2,zi2
x,棓,pou3,bau2,pau2
o,䘷,bie1,bit3,bit3
x,燕,yan4,jin6,jin3
o,徨,huang2,wong4,wong4
o,惀,lun3,leon4,leon4
x,嫕,yi4,jik6,ji3
x,漯,luo4,lok6,lok3
x,嫙,xuan2,jyun4,syun4
o,儱,long3,lung5,lung5
x,䱵,weng1,jung1,zung1
o,緇,zi1,zi1,zi1
x,券,juan4,gyun3,gyun6
x,鱎,jiao1,giu1,giu2
x,斲,zhuo2,zoek3,doek3
o,委,wei1,wai1,wai1
x,栗,li4,lik6,leot6
x,繰,qiao1,hiu1,ciu1
o,釜,fu3,fu2,fu2
x,飲,yin4,jan6,jam3
x,摌,chan3,cin2,caan2
o,珙,gong3,gung2,gung2
x,翥,zhu4,cyu5,zyu3
x,煞,sha1,saa1,saat3
o,囌,su1,sou1,sou1
x,㘞,huo4,wok6,wo6
x,緰,yu2,jyu4,syu1
o,令,ling4,ling6,ling6
x,鷅,li4,lik6,leot6
x,湆,qi4,hei3,jap1
o,㐌,yi2,ji4,ji4
x,䨨,zhui1,zeoi1,zaa1
o,渃,re4,je6,je6
o,煳,hu2,wu4,wu4
x,劤,jin4,gam3,ging6
o,乏,fa2,fat6,fat6
o,叩,kou4,kau3,kau3
o,韜,tao1,tou1,tou1
o,㕹,fa2,fat6,fat6
o,嫭,hu4,wu6,wu6
x,眧,chao3,caau2,ciu1
x,郅,zhi4,zi3,zat6
x,㟏,han2,hon4,ham4
x,撂,liao4,liu6,loek6
x,厝,cuo4,co3,cok3
x,鸒,yu4,jyu6,jyu4
x,溘,ke4,ho1,hap6
o,孋,li2,lei4,lei4
o,舴,ze2,zaak3,zaak3
o,賊,zei2,caak6,caak6
o,㸷,shi4,si6,si6
x,疳,gan1,gon1,gam1
x,腎,shen4,sam6,san6
o,淬,cui4,ceoi3,ceoi3
x,索,suo3,so2,saak3
x,燾,tao1,tou1,tou4
o,嬵,mian2,min4,min4
o,墎,guo1,gaa3,gaa3
o,惔,tan2,taam4,taam4
x,哦,o2,aa4,o2
x,足,zu2,zyut6,zuk1
o,部,bu4,bou6,bou6
x,饈,xiu1,jau1,sau1
o,考,kao3,haau2,haau2
o,峾,yin2,naa4,naa4
o,淣,ni2,naa4,naa4
o,說,yue4,jyut6,jyut6
o,賰,chun3,ceon2,ceon2
x,蕃,fan1,faan1,faan4
x,愬,se4,sik1,saak3
o,渚,zhu3,zyu2,zyu2
x,徘,pai2,paai4,pui4
o,䈬,pu2,pou4,pou4
x,乜,mie1,mit1,me1
o,𨧀,du4,dou6,dou6
x,鋤,chu2,ceoi4,co4
o,㠙,hao2,hou4,hou4
o,噇,chuang2,cong4,cong4
x,釁,xin4,san3,jan3
x,蛣,ji1,gei1,gat1
o,饙,fen1,fan1,fan1
x,䱒,ye4,jip6,zaap1
x,䜖,tan4,taam3,dam6
o,儏,can4,caan3,caan3
o,侁,shen1,san1,san1
x,翇,fu2,fu1,fat1
x,囏,jian1,gin1,gaan1
o,檬,meng2,mung4,mung4
x,湘,xiang1,hoeng1,soeng1
x,䬍,hu1,fu1,fat1
o,皪,li4,lik6,lik6
o,犬,quan3,hyun2,hyun2
o,娘,niang2,noeng4,noeng4
o,餫,yun4,wan6,wan6
o,明,ming2,ming4,ming4
x,䯿,zu2,zyut6,cyut3
x,隈,wei1,wai1,wui1
o,呻,shen1,san1,san1
o,㔣,lei2,leoi4,leoi4
o,鄯,shan4,sin6,sin6
x,阿,a1,aa1,aa3
x,殜,die2,dip6,jip6
x,䉛,yu4,jyu6,zuk1
o,鋁,lü3,leoi5,leoi5
o,依,yi1,ji1,ji1
o,竱,zhuan3,zyun2,zyun2
o,若,re3,je5,je5
o,鞎,hen2,han4,han4
x,銓,quan2,kyun4,cyun4
x,瘠,ji2,zik1,zik3
o,氽,tun3,tan2,tan2
o,盦,an1,am1,am1
o,鍊,lian4,lin6,lin6
o,筰,zuo2,zok6,zok6
o,鵝,e2,naa4,naa4
o,冡,meng2,mung4,mung4
o,劬,qu2,keoi4,keoi4
x,暉,hui1,fui1,fai1
o,䵀,suo3,so2,so2
x,溝,gou1,gau1,kau1
x,楬,jie2,zit3,kit3
x,掏,tao1,tou1,tou4
x,擸,lie4,lit6,lip6
x,鵲,que4,kok3,coek3
x,嚳,ku4,fu3,guk1
x,蹰,chu2,ceoi4,cyu4
o,蚳,chi2,ci4,ci4
o,驀,mo4,mak6,mak6
x,踏,ta4,taap3,daap6
x,踭,zheng1,zing1,zaang1
o,菖,chang1,coeng1,coeng1
x,駔,zang3,zong2,cong2
x,鑄,zhu4,cyu5,zyu3
o,胏,zi3,zi2,zi2
x,㝰,mian2,min4,maan5
o,圜,yuan2,jyun4,jyun4
o,陽,yang2,joeng4,joeng4
o,𢇇,guan1,gaa1,gaa1
x,焮,xin4,san3,jan3
x,否,pi3,pei1,pei2
x,𣲷,ni4,nik6,nap6
o,夸,kua1,kaa1,kaa1
x,襋,ji2,zik1,gik1
x,㠏,hua2,waa6,waa4
x,䱺,hai2,hoi4,haai4
o,昊,hao4,hou6,hou6
o,睲,xing3,sing2,sing2
o,葐,pen2,pun4,pun4
o,夡,qi4,hei3,hei3
o,柰,nai4,noi6,noi6
x,猼,bo2,bok6,pok3
x,睎,xi1,hik1,hei1
o,場,chang2,coeng4,coeng4
x,剪,jian3,gin2,zin2
x,耠,huo1,fok3,hap6
x,㯱,pao1,paau1,piu4
o,閃,shan3,sim2,sim2
o,邗,han2,hon4,hon4
x,尡,hun4,wan6,kaa1
o,櫶,xian3,hin2,hin2
x,諞,pian2,pin4,pin5
o,磚,zhuan1,zyun1,zyun1
o,跑,pao3,paau2,paau2
x,澓,fu2,fu1,fuk6
x,啃,ken3,han2,hang2
o,番,po2,po4,po4
x,嬖,bi4,bat6,pei3
o,洿,wu1,wu1,wu1
x,軥,ju1,geoi1,keoi4
x,崣,wei3,wai5,wai2
o,諒,liang2,loeng4,loeng4
o,䮍,niao3,niu5,niu5
x,娔,ke4,ho1,hak1
x,紼,fu2,fu1,fat1
x,顫,chan4,caam3,zin3
o,蒗,lang4,long6,long6
o,萼,e4,naa6,naa6
o,洆,cheng2,sing4,sing4
o,堵,zhe3,ze2,ze2
x,硤,xia2,haa6,haap6
x,睇,di4,dai6,tai2
o,㝭,xing3,sing2,sing2
o,㨛,shan3,sim2,sim2
o,攏,long3,lung5,lung5
o,饡,zan4,zaan3,zaan3
o,刏,ji1,gei1,gei1
x,剜,wan1,waan1,wun1
x,族,zu2,zyut6,zuk6
x,措,cuo4,co3,cou3
x,邈,miao3,miu5,mok6
o,弩,nu3,nou5,nou5
o,啑,die2,dip6,dip6
x,嘄,jiao1,giu1,hiu1
o,窕,tiao3,tiu5,tiu5
x,映,ying4,jing6,jing2
x,䏏,xu1,seoi1,heoi1
o,跲,jia2,gaap3,gaap3
o,瘥,chai4,caai3,caai3
o,玖,jiu3,gau2,gau2
x,亳,bo2,bok6,bok3
o,草,cao3,cou2,cou2
o,嶢,yao2,jiu4,jiu4
x,鳦,yi3,ji5,jyut6
x,牝,pin4,pan3,pan5
o,碻,que4,kok3,kok3
o,悻,xing4,hang6,hang6
x,橏,zhan3,zin2,gin2
x,笸,po3,po3,po2
o,艿,nai3,naai5,naai5
x,繀,sui4,seoi6,seoi3
x,舢,shan1,sim1,saan1
o,畬,yu2,jyu4,jyu4
o,翹,qiao2,kiu4,kiu4
o,僋,tan4,taam3,taam3
x,麖,jing1,ging1,geng1
o,羕,yang4,joeng6,joeng6
o,遭,zao1,zou1,zou1
o,咋,zha1,zaa1,zaa1
o,鑌,bin1,ban1,ban1
x,䬄,xu4,zeoi6,syu3
x,恤,xu4,zeoi6,seot1
o,囼,tai1,toi1,toi1
o,裱,biao3,biu2,biu2
x,貓,mao2,maau4,maau1
o,㼊,tun2,tyun4,tyun4
x,嚦,li4,lik6,lik1
x,樕,su4,suk1,sok3
x,頦,ke1,ho1,hoi4
o,䴪,lu4,luk6,luk6
x,縎,gu3,gu1,gaa1
x,潱,ye1,jit6,jan1
x,姩,nian4,nim6,nin6
o,搔,sao1,sou1,sou1
o,仔,zi3,zi2,zi2
x,極,ji2,zik1,gik1
o,喃,nan2,naam4,naam4
x,瑕,xia2,haa6,haa4
o,翻,fan1,faan1,faan1
x,咼,wai1,waai1,waa1
x,桔,jie2,zit3,git3
o,漂,piao1,piu1,piu1
o,雷,lei2,leoi4,leoi4
o,嚨,long2,lung4,lung4
x,巐,chao3,caau2,ciu2
x,鷽,xue2,hyut6,hok6
x,漚,ou4,aa3,au3
o,殟,wen1,wan1,wan1
x,憱,cu4,cou3,cuk1
x,歫,ju4,geoi6,keoi5
o,爮,pao2,paau4,paau4
o,駕,jia4,gaa3,gaa3
x,燰,wei1,wai1,wui1
o,凌,ling2,ling4,ling4
o,扻,zhi4,zi3,zi3
x,㙻,chan2,caam4,cin4
x,飽,bao3,bou2,baau2
o,慘,can3,caam2,caam2
o,伕,fu1,fu1,fu1
o,垖,dui1,deoi1,deoi1
x,禫,dan4,daan6,daam6
o,爞,chong2,cung4,cung4
x,鰼,xi2,zik6,zaap6
x,死,si3,si2,sei2
o,撘,da1,daap3,daap3
x,腔,qiang1,coeng1,hong1
o,蘑,mo2,mo4,mo4
o,佃,tian2,tin4,tin4
x,宓,mi4,mik6,mat6
x,癢,yang3,joeng2,joeng5
o,澢,dang1,dong1,dong1
o,汰,tai4,taai3,taai3
o,臧,cang2,cong4,cong4
x,榿,qi1,cei1,kei1
x,惜,xi1,hik1,sik1
o,鐳,lei2,leoi4,leoi4
x,酹,lei4,leoi6,laai6
o,潨,zong1,zung1,zung1
x,還,xuan2,jyun4,syun4
o,韘,she4,sip3,sip3
o,忉,dao1,dou1,dou1
x,社,she4,sip3,se5
x,佅,mai4,mak6,maai6
x,寂,ji4,gei3,zik6
o,肜,rong2,jung4,jung4
x,䴠,yao3,jiu2,ou2
x,𨃩,xian4,hin6,sin3
o,哈,ha3,haa1,haa1
x,㠔,bai4,baai6,baai3
x,唻,lai4,laai6,loi6
x,胺,an4,non6,on1
x,嫼,mo4,mak6,aat3
x,沃,wo4,waat6,juk1
x,眛,mei4,mei6,mui6
x,豇,jiang1,goeng1,gong1
o,炮,pao4,paau3,paau3
x,䍟,zong4,zung6,zung3
x,䀂,an1,am1,on1
o,顟,liao2,liu4,liu4
o,釴,yi4,jik6,jik6
x,炫,xuan4,jyun3,jyun6
x,癟,bie3,bit2,bit6
o,位,wei4,wai6,wai6
o,唆,suo1,so1,so1
x,佘,she2,sit6,se4
o,評,ping2,ping4,ping4
o,師,shi1,si1,si1
x,媆,ruan3,jyun5,nyun6
o,敔,yu3,jyu5,jyu5
o,傷,shang1,soeng1,soeng1
x,碬,xia2,haa6,haa4
x,熙,xi1,hik1,hei1
x,臌,gu3,gu1,gu2
x,樗,chu1,cyu1,syu1
x,𨂐,lai2,loi4,leoi1
x,䭰,beng4,bang1,bung2
x,靬,qian2,kim4,gin1
x,繈,qiang3,coeng2,koeng5
o,滃,weng1,jung1,jung1
o,鍔,e4,naa6,naa6
o,坊,fang2,fong4,fong4
x,拰,nin3,nan5,nam5
o,闐,tian2,tin4,tin4
x,䮸,wo4,waat6,aak1
x,錯,cuo4,co3,cok3
o,苔,tai1,toi1,toi1
o,楊,yang2,joeng4,joeng4
o,礽,reng2,jing4,jing4
x,壹,yi1,ji1,jat1
x,鴶,ji2,zik1,gat1
x,泌,mi4,mik6,bei3
x,㕤,qiu2,kau4,gaa2
o,㻞,bin1,ban1,ban1
o,羭,yu2,jyu4,jyu4
o,筏,fa2,fat6,fat6
o,菘,song1,sung1,sung1
o,腱,jian4,gin3,gin3
o,岆,yao3,jiu2,jiu2
x,㜄,xun2,seon4,caam4
x,罅,xia4,haa6,laa3
x,邁,mai4,mak6,maai6
x,髁,ke1,ho1,fo1
o,矢,shi3,si2,si2
x,乵,yan3,jin2,jim5
x,唾,tuo4,tok3,to3
o,鯙,chun2,seon4,seon4
x,醞,yun4,wan6,wan2
o,濧,dui4,deoi6,deoi6
o,訃,fu4,fu6,fu6
x,胳,ge1,go1,gaak3
x,僮,zhuang4,zong3,zong6
x,濈,ji2,zik1,cap1
o,瞂,fa2,fat6,fat6
o,寄,ji4,gei3,gei3
o,圥,lu4,luk6,luk6
o,鄉,xiang1,hoeng1,hoeng1
o,抽,chou1,cau1,cau1
x,處,chu3,co2,cyu2
o,緤,xie4,sit3,sit3
x,燅,xun2,seon4,cim4
o,皰,pao4,paau3,paau3
x,嚥,yan4,jin6,jin3
x,棜,yu4,jyu6,jyu3
o,癌,ai2,naa4,naa4
x,汝,ru3,juk6,jyu5
o,矇,meng2,mung4,mung4
x,幄,wo4,waat6,ak1
x,窒,zhi4,zi3,zat6
o,貘,mo4,mak6,mak6
x,嵡,weng3,jang2,jung2
x,惡,e4,naa6,ok3
o,扜,yu1,jyu1,jyu1
o,工,gong1,gung1,gung1
o,魄,tuo4,tok3,tok3
o,滖,sui1,seoi1,seoi1
x,攞,luo2,lo4,lo2
o,語,yu3,jyu5,jyu5
x,䱖,liu2,lau4,laau4
o,裀,yin1,jan1,jan1
o,鷏,tian2,tin4,tin4
x,烎,yin2,naa4,jam4
x,角,jiao3,giu2,gok3
o,㙼,lei3,leoi5,leoi5
o,躓,zhi4,zi3,zi3
o,岝,zuo4,zok6,zok6
x,齴,yan3,jin2,naa5
o,仳,pi2,pei4,pei4
o,㼥,tou3,tau2,tau2
o,儁,jun4,zeon3,zeon3
x,𩹎,an4,non6,jam1
o,界,jie4,gaai3,gaai3
o,絒,chou2,cau4,cau4
o,埗,bu4,bou6,bou6
o,厹,qiu2,kau4,kau4
x,陭,yi4,jik6,ji2
x,撖,han4,hon6,haam5
x,凞,xi1,hik1,hei1
o,迵,dong4,dung6,dung6
x,櫟,li4,lik6,lik1
o,嗤,chi1,ci1,ci1
o,驄,cong1,cung1,cung1
x,棢,wang3,mong5,mong1
x,㟀,lian2,lim4,lin4
o,鶉,chun2,seon4,seon4
o,齻,dian1,din1,din1
o,迒,hang2,hong4,hong4
x,摔,shuai1,seoi1,seot1
o,腑,fu3,fu2,fu2
x,䯊,qia4,hap3,kaa3
x,鞳,ta4,taap3,daap6
x,間,jian1,gin1,gaan1
o,戶,hu4,wu6,wu6
x,栒,xun2,seon4,ceon4
o,妏,wen4,man6,man6
o,蜸,qian3,hin2,hin2
o,峓,yi2,ji4,ji4
x,俆,xu2,keoi4,ceoi4
x,腋,ye4,jip6,jik6
x,峇,ke4,ho1,hap6
x,㩉,xi1,hik1,kaap1
x,芋,yu4,jyu6,wu6
o,仔,zi1,zi1,zi1
x,爪,zhua3,zeon2,zaau2
x,彵,tuo3,to2,to5
o,糎,li2,lei4,lei4
o,恍,huang3,fong2,fong2
o,納,na4,naap6,naap6
x,鏡,jing4,ging6,geng3
o,墀,chi2,ci4,ci4
x,襭,xie2,hip3,git3
o,滄,cang1,cong1,cong1
x,泳,yong3,jung2,wing6
x,𠚹,shan4,sin6,saam1
o,懷,huai2,waai4,waai4
x,茹,ru2,jyu4,jyu6
o,朔,shuo4,sok3,sok3
x,甍,meng2,mung4,mang4
x,瓦,wa4,mat6,naa6
x,燐,lin2,lam4,leon4
x,𧊲,quan2,kyun4,cyun4
x,㕃,xi1,hik1,him3
x,坋,ben4,ban6,fan5
o,嘮,lao2,lou4,lou4
x,嚡,hai2,hoi4,haai4
o,㠲,bi3,bei2,bei2
o,祔,fu4,fu6,fu6
x,瀹,yue4,jyut6,joek6
o,叉,cha4,caa3,caa3
o,汛,xun4,seon3,seon3
o,腼,mian3,min5,min5
o,暟,kai3,hoi2,hoi2
o,株,zhu1,zyu1,zyu1
x,僕,pu2,pou4,buk6
o,刟,diao1,diu1,diu1
o,箯,bian1,bin1,bin1
x,麂,ji3,gei1,gei2
o,咽,yan1,jin1,jin1
o,牨,gang1,gong1,gong1
x,雋,juan4,gyun3,syun5
o,㡩,luan2,lyun4,lyun4
o,沼,zhao3,ziu2,ziu2
x,騽,xi2,zik6,zaap6
o,不,fou3,fau2,fau2
o,傢,jia1,gaa1,gaa1
o,膘,biao1,biu1,biu1
o,拐,guai3,gaa2,gaa2
x,恁,ren4,jan6,jam6
x,這,zhe4,ze3,ze2
o,坻,chi2,ci4,ci4
o,可,ke3,ho2,ho2
x,鞍,an1,am1,on1
x,妺,mo4,mak6,mut6
x,舀,yao3,jiu2,jiu5
x,芾,fu2,fu1,fat1
o,徦,jia3,gaa2,gaa2
o,㑓,jun4,zeon3,zeon3
o,摟,lou1,lau1,lau1
o,閶,chang1,coeng1,coeng1
o,儚,meng2,mung4,mung4
x,䲽,shi2,sik6,sek6
o,髊,ci1,ci1,ci1
o,蠪,long2,lung4,lung4
x,韯,xian1,hin1,cim1
o,帑,nu2,nou4,nou4
o,侯,hou2,hau4,hau4
x,櫽,yin3,jan5,jan2
o,蠢,chun3,ceon2,ceon2
x,歁,kan3,ham2,ham3
o,僶,min3,man5,man5
o,啂,nou3,nau5,nau5
x,針,zhen1,zing1,zam1
x,擽,lüe4,loek6,lik6
x,徯,xi1,hik1,hai4
o,漪,yi1,ji1,ji1
x,猘,she1,se1,zai3
x,嫿,hua4,waa6,waak6
o,櫌,you1,jau1,jau1
x,想,xiang3,hoeng2,soeng2
x,㚚,kong1,hung1,kaa1
x,搕,ke1,ho1,hap1
o,璃,li2,lei4,lei4
x,㪣,xiao1,hiu1,kiu3
x,麼,ma,maa5,mo1
x,咩,mie1,mit1,me1
x,壍,qian4,hin3,cim3
x,岳,yue4,jyut6,naa6
x,䛏,ni2,naa4,nei4
o,鍏,wei2,wai4,wai4
x,詀,zhan1,zim1,cip3
o,防,fang2,fong4,fong4
x,比,bi3,bei2,bei6
o,由,you2,jau4,jau4
o,掄,lun2,leon4,leon4
o,雚,guan4,gun3,gun3
x,䎠,er2,ji4,no6
o,毇,hui3,wai2,wai2
x,埶,yi4,jik6,naa6
o,緅,zou1,zau1,zau1
o,秠,pi1,pei1,pei1
x,踦,ji3,gei1,gei2
x,刜,fu2,fu1,fat1
x,霜,shuang1,song1,soeng1
x,榗,jian4,gin3,zin3
o,堞,die2,dip6,dip6
x,啑,jie2,zit3,zit6
o,覫,pang3,pong2,pong2
o,兒,ni2,naa4,naa4
o,䖺,tiao2,tiu4,tiu4
o,歡,huan1,fun1,fun1
o,迪,di2,dik6,dik6
x,殉,xun4,seon3,seon1
o,抿,min3,man5,man5
o,瘢,ban1,baan1,baan1
o,淶,lai2,loi4,loi4
x,軛,e4,naa6,aak1
o,浪,lang4,long6,long6
o,砂,sha1,saa1,saa1
o,枝,qi2,kei4,kei4
o,奺,jiu3,gau2,gau2
o,㝨,huan2,waan4,waan4
x,髐,xiao1,hiu1,haau1
o,㢋,chi3,ci2,ci2
o,玄,xuan2,jyun4,jyun4
o,飧,sun1,syun1,syun1
x,贔,bi4,bat6,bei6
o,媵,ying4,jing6,jing6
x,冿,jian1,gin1,zin1
o,褸,lü3,leoi5,leoi5
x,掣,che4,cit3,zai3
o,荎,chi2,ci4,ci4
o,喤,huang2,wong4,wong4
o,錤,ji1,gei1,gei1
x,曲,qu1,keoi1,kuk1
x,窌,jiao4,giu3,gaau3
o,招,zhao1,ziu1,ziu1
o,㠉,tong2,tung4,tung4
x,奞,xun4,seon3,seon6
o,㲌,neng4,ning6,ning6
o,匋,tao2,tou4,tou4
x,㸶,yan1,jin1,zin1
o,檇,zui4,zeoi3,zeoi3
x,櫒,sa4,saap3,saat3
o,宥,you4,jau6,jau6
x,㙏,fu4,fu6,fuk1
x,裎,cheng2,sing4,cing4
o,湡,yu2,jyu4,jyu4
x,斛,hu2,wu4,huk6
o,粉,fen3,fan2,fan2
x,滑,hua2,waa6,waat6
o,煮,zhu3,zyu2,zyu2
o,梱,kun3,kaa2,kaa2
o,囮,e2,naa4,naa4
o,褊,bian3,bin2,bin2
o,藹,ai3,oi2,oi2
o,偝,bei4,bui3,bui3
o,默,mo4,mak6,mak6
o,䵣,da2,daat3,daat3
x,㙩,liao2,liu4,laau6
x,嫩,nen4,jam6,nyun6
x,欓,dang3,dong2,dong1
o,耳,er3,ji5,ji5
x,稑,lu4,luk6,ling4
x,穸,xi1,hik1,zik6
x,馨,xin1,jan1,hing1
o,墤,kuai4,faai3,faai3
x,件,jian4,gin3,gin6
x,毷,mao4,mau6,mou6
x,潙,wei2,wai4,gaa1
o,䝡,man4,maan6,maan6
o,枡,dou3,dau2,dau2
o,癙,shu3,syu2,syu2
x,忣,ji2,zik1,gap1
o,乃,nai3,naai5,naai5
x,腷,bi4,bat6,bik1
x,襼,yi4,jik6,naa6
o,霂,mu4,muk6,muk6
x,奆,quan3,hyun2,gyun6
x,䱸,sou1,sau1,saau1
x,闟,xi4,hei1,hap1
x,澰,lian4,lin6,lim6
o,朐,qu2,keoi4,keoi4
o,渃,ruo4,joek6,joek6
x,獬,xie4,sit3,haai5
x,墋,chen1,can1,cam2
o,嚁,di2,dik6,dik6
x,桏,qiong2,king4,kung4
x,媻,pan2,pun4,po4
